형태소,품사,분류,카운트
",",Punctuation,3,4
",",Punctuation,4,28
",",Punctuation,5,28
",",Punctuation,6,101
",",Punctuation,7,55
",",Punctuation,8,140
",",Punctuation,9,90
",",Punctuation,10,393
",!!!",Punctuation,10,1
",(",Punctuation,4,1
",,",Punctuation,2,3
",,",Punctuation,4,1
",,",Punctuation,5,3
",,",Punctuation,6,3
",,",Punctuation,7,2
",,",Punctuation,8,3
",,",Punctuation,9,1
",,",Punctuation,10,31
",,,",Punctuation,5,1
",,,",Punctuation,6,1
",,,",Punctuation,8,3
",,,",Punctuation,9,1
",,,",Punctuation,10,12
",,,,",Punctuation,5,1
",,,,",Punctuation,6,2
",,,,",Punctuation,8,1
",,,,",Punctuation,10,4
",,.",Punctuation,8,1
",,...",Punctuation,2,1
",,?",Punctuation,10,1
",.",Punctuation,4,1
",.",Punctuation,6,1
",.",Punctuation,8,1
",.",Punctuation,9,1
",.",Punctuation,10,1
",.,",Punctuation,6,1
",...",Punctuation,5,1
",...",Punctuation,10,3
",....",Punctuation,6,1
-,Punctuation,1,1
-,Punctuation,2,2
-,Punctuation,4,4
-,Punctuation,6,1
-,Punctuation,7,4
-,Punctuation,8,4
-,Punctuation,9,2
-,Punctuation,10,9
-!,Punctuation,10,1
->,Punctuation,10,2
-_-,Punctuation,1,1
.,Punctuation,1,150
.,Punctuation,2,115
.,Punctuation,3,43
.,Punctuation,4,162
.,Punctuation,5,118
.,Punctuation,6,438
.,Punctuation,7,279
.,Punctuation,8,639
.,Punctuation,9,352
.,Punctuation,10,1723
.!,Punctuation,6,1
.!,Punctuation,9,1
.!!,Punctuation,10,1
".""",Punctuation,8,1
".""",Punctuation,9,1
".""",Punctuation,10,1
.',Punctuation,4,1
.(,Punctuation,8,2
.(,Punctuation,10,1
.(+,Punctuation,10,1
.),Punctuation,10,1
.*,Punctuation,10,1
.*^^*,Punctuation,10,1
".,",Punctuation,6,1
".,",Punctuation,7,1
".,",Punctuation,10,1
".,,",Punctuation,10,1
".,.",Punctuation,10,1
".,..",Punctuation,9,1
".,..",Punctuation,10,1
.-,Punctuation,10,1
..,Punctuation,1,64
..,Punctuation,2,82
..,Punctuation,3,14
..,Punctuation,4,95
..,Punctuation,5,55
..,Punctuation,6,192
..,Punctuation,7,76
..,Punctuation,8,180
..,Punctuation,9,76
..,Punctuation,10,590
..!,Punctuation,6,1
..!,Punctuation,7,1
..!,Punctuation,9,1
..!,Punctuation,10,3
..!!,Punctuation,10,2
..!!!,Punctuation,10,3
..!?,Punctuation,10,1
"..""",Punctuation,9,1
..',Punctuation,4,1
..(,Punctuation,10,1
..),Punctuation,2,1
..),Punctuation,10,1
"..,,,",Punctuation,10,1
"..,,..,,..,",Punctuation,1,1
...,Punctuation,1,86
...,Punctuation,2,74
...,Punctuation,3,21
...,Punctuation,4,115
...,Punctuation,5,64
...,Punctuation,6,244
...,Punctuation,7,126
...,Punctuation,8,206
...,Punctuation,9,82
...,Punctuation,10,596
...!,Punctuation,1,1
...!,Punctuation,6,1
...!,Punctuation,8,1
...!,Punctuation,10,1
...!!,Punctuation,10,1
...!!!,Punctuation,10,2
...!!!?,Punctuation,10,1
...!!?,Punctuation,10,1
"...""",Punctuation,10,1
...(,Punctuation,6,1
...(,Punctuation,10,3
...),Punctuation,10,1
"...,,",Punctuation,3,1
"...,,",Punctuation,10,1
...-_-.;;...,Punctuation,10,1
....,Punctuation,1,15
....,Punctuation,2,11
....,Punctuation,3,2
....,Punctuation,4,9
....,Punctuation,5,6
....,Punctuation,6,46
....,Punctuation,7,18
....,Punctuation,8,24
....,Punctuation,9,9
....,Punctuation,10,84
....!!!,Punctuation,6,1
"....,",Punctuation,5,1
"....,,,",Punctuation,10,1
"....,...,",Punctuation,1,1
.....,Punctuation,2,1
.....,Punctuation,6,3
.....,Punctuation,7,1
.....,Punctuation,9,1
.....,Punctuation,10,1
....?,Punctuation,10,1
....^^,Punctuation,10,1
...;;,Punctuation,8,1
...?,Punctuation,1,1
...?,Punctuation,6,3
...?,Punctuation,7,3
...?,Punctuation,8,1
...?,Punctuation,10,5
...??,Punctuation,10,2
...???,Punctuation,5,1
...^^,Punctuation,10,4
...~,Punctuation,8,1
..;;;,Punctuation,8,1
..?,Punctuation,4,3
..?,Punctuation,8,3
..?,Punctuation,9,2
..?,Punctuation,10,8
..??,Punctuation,9,1
..~,Punctuation,8,1
.;,Punctuation,6,1
.;.;.;.;.;,Punctuation,10,1
.^^,Punctuation,6,2
.^^,Punctuation,7,1
.^^,Punctuation,10,2
".^^""",Punctuation,10,1
.^^;,Punctuation,6,1
.^_^,Punctuation,10,1
.~,Punctuation,10,1
.~~,Punctuation,8,1
.~~,Punctuation,10,2
.~~^^;,Punctuation,8,1
/,Punctuation,1,1
/,Punctuation,4,1
/,Punctuation,5,1
/,Punctuation,7,2
/,Punctuation,8,2
/,Punctuation,10,3
//,Punctuation,9,1
0,Number,1,2
0,Number,5,1
0.01초,Number,2,1
0.1,Number,10,1
00,Number,10,1
0000,Number,10,1
0~1,Number,7,1
1,Number,1,22
1,Number,2,4
1,Number,4,3
1,Number,5,3
1,Number,6,4
1,Number,7,2
1,Number,8,6
1,Number,9,7
1,Number,10,26
1.4,Number,10,1
1.43,Number,7,1
10,Number,1,6
10,Number,2,3
10,Number,4,3
10,Number,5,3
10,Number,6,7
10,Number,7,1
10,Number,8,12
10,Number,9,4
10,Number,10,56
10%,Number,2,1
100,Number,1,1
100,Number,2,2
100,Number,4,1
100,Number,6,1
100,Number,8,1
100,Number,10,12
100%,Number,2,2
100%,Number,4,2
100%,Number,9,1
100%,Number,10,3
1000,Number,6,2
1000,Number,10,2
100년,Number,8,1
10~20,Number,10,1
10년,Number,2,1
10년,Number,6,2
10년,Number,10,5
10만원,Number,6,2
10분,Number,1,1
10분,Number,2,2
10분,Number,8,1
10분,Number,10,1
10억,Number,10,1
11,Number,1,2
11,Number,6,1
11,Number,8,1
11,Number,9,1
11,Number,10,1
118분,Number,5,1
118분,Number,7,1
118분,Number,10,2
12,Number,4,1
120%,Number,10,1
13,Number,6,1
13000원,Number,10,1
14,Number,9,1
14년,Number,10,1
14만원,Number,8,1
15,Number,1,1
15,Number,8,1
15년,Number,10,6
15만원,Number,10,1
15분,Number,1,2
16년,Number,1,1
17,Number,10,1
18,Number,10,2
18만원,Number,10,1
19,Number,10,1
1994,Number,8,1
1994년,Number,5,1
1994년,Number,8,3
1994년,Number,9,1
1994년,Number,10,4
1995년,Number,3,1
1995년,Number,6,1
1~10,Number,7,1
1등,Number,2,1
1등,Number,5,1
1등,Number,10,3
1분,Number,7,1
1시간,Number,1,1
1시간,Number,4,1
1일,Number,10,1
2,Number,1,7
2,Number,2,7
2,Number,4,5
2,Number,5,3
2,Number,6,11
2,Number,7,1
2,Number,8,17
2,Number,9,5
2,Number,10,55
2%,Number,6,1
2%,Number,8,2
2%,Number,9,1
20,Number,2,1
20,Number,7,1
20,Number,8,2
20,Number,9,1
20,Number,10,9
200%,Number,8,1
20000원,Number,10,1
2000억,Number,6,1
2007년,Number,9,1
2016년,Number,8,1
2016년,Number,10,1
2019,Number,6,1
2019,Number,9,1
2019,Number,10,2
2019년,Number,6,1
2019년,Number,10,5
2020,Number,2,1
2020년,Number,10,1
20년,Number,2,1
20년,Number,4,1
20년,Number,6,4
20년,Number,7,1
20년,Number,8,1
20년,Number,9,2
20년,Number,10,12
20분,Number,2,1
20분,Number,5,1
20분,Number,7,1
20분,Number,8,2
20분,Number,10,1
21,Number,10,1
22,Number,10,1
22000원,Number,10,1
22년,Number,10,1
23년,Number,10,1
24,Number,10,1
24년,Number,6,1
25,Number,10,1
25년,Number,4,1
25년,Number,5,1
25년,Number,6,1
25년,Number,7,1
25년,Number,8,4
25년,Number,9,3
25년,Number,10,14
25일,Number,10,1
26,Number,10,1
26년,Number,10,2
28,Number,10,1
29분,Number,10,1
2~3%,Number,8,1
2년,Number,4,1
2만원,Number,10,1
2시,Number,10,1
2시간,Number,1,6
2시간,Number,2,3
2시간,Number,3,1
2시간,Number,4,6
2시간,Number,6,5
2시간,Number,7,3
2시간,Number,8,6
2시간,Number,10,19
2억,Number,6,1
2회,Number,10,2
3,Number,1,5
3,Number,2,3
3,Number,3,2
3,Number,4,6
3,Number,5,2
3,Number,6,15
3,Number,7,7
3,Number,8,13
3,Number,9,3
3,Number,10,72
30,Number,6,2
30,Number,8,1
30,Number,9,3
30,Number,10,18
300만,Number,6,1
30분,Number,1,1
30분,Number,6,1
31,Number,10,1
32,Number,10,1
34,Number,10,1
35,Number,10,3
3년,Number,8,1
3년,Number,10,2
3분,Number,1,1
3시,Number,8,1
3회,Number,10,1
4,Number,1,3
4,Number,2,5
4,Number,4,5
4,Number,5,1
4,Number,6,15
4,Number,7,3
4,Number,8,16
4,Number,9,1
4,Number,10,57
40,Number,4,1
40,Number,8,2
400,Number,5,1
40분,Number,1,2
4536734753742,Number,9,1
456789123,Number,10,1
45분,Number,1,1
4~5,Number,10,1
4만,Number,10,1
4회,Number,10,1
5,Number,1,2
5,Number,2,1
5,Number,5,1
5,Number,6,6
5,Number,8,11
5,Number,9,2
5,Number,10,21
5.20분,Number,5,1
50,Number,10,1
50%,Number,4,1
500,Number,10,1
500원,Number,8,1
50년,Number,6,1
50년,Number,10,1
50분,Number,4,1
50분,Number,8,1
5년,Number,5,1
5분,Number,1,1
5분,Number,2,2
5분,Number,5,1
5분,Number,6,2
5천만,Number,6,1
6,Number,1,1
6,Number,4,1
6,Number,5,2
6,Number,6,9
6,Number,8,7
6,Number,9,2
6,Number,10,19
6.5,Number,6,1
60%,Number,4,1
60%,Number,7,1
6~7,Number,1,1
6~7,Number,2,1
6~8,Number,7,1
6억,Number,10,1
6천원,Number,10,1
7,Number,1,1
7,Number,2,1
7,Number,4,4
7,Number,6,1
7,Number,7,11
7,Number,8,6
7,Number,10,18
7.17,Number,10,1
70,Number,10,1
7080,Number,7,1
7:55,Number,10,1
7시,Number,10,3
7월,Number,10,1
8,Number,2,1
8,Number,4,1
8,Number,5,1
8,Number,6,3
8,Number,8,11
8,Number,9,2
8,Number,10,15
8.71,Number,10,1
86,Number,10,1
89,Number,6,1
89,Number,8,1
89분,Number,5,1
8시,Number,1,1
8천원,Number,1,1
9,Number,5,1
9,Number,6,2
9,Number,8,11
9,Number,9,6
9,Number,10,12
9.5,Number,4,1
9.8,Number,10,1
90,Number,8,2
90년,Number,4,1
90년,Number,7,1
90년,Number,10,1
92년,Number,1,1
94년,Number,5,1
94년,Number,6,1
94년,Number,7,3
94년,Number,8,3
94년,Number,9,1
94년,Number,10,3
95%,Number,5,1
95년,Number,9,1
99%,Number,10,1
9시,Number,6,1
9시,Number,10,1
9천원,Number,2,1
:,Punctuation,1,2
:,Punctuation,5,2
:,Punctuation,6,2
:,Punctuation,7,4
:,Punctuation,8,1
:,Punctuation,9,1
:,Punctuation,10,10
:(,Punctuation,6,1
:),Punctuation,1,1
:),Punctuation,7,1
:),Punctuation,8,3
:),Punctuation,9,2
:),Punctuation,10,13
:-),Punctuation,8,1
:-),Punctuation,10,1
:...,Punctuation,6,1
:...,Punctuation,10,1
;,Punctuation,1,2
;,Punctuation,2,2
;,Punctuation,4,2
;,Punctuation,6,3
;,Punctuation,8,1
;,Punctuation,10,9
;),Punctuation,10,1
;;,Punctuation,2,5
;;,Punctuation,4,4
;;,Punctuation,5,2
;;,Punctuation,6,5
;;,Punctuation,7,3
;;,Punctuation,8,4
;;,Punctuation,10,5
;;;,Punctuation,1,1
;;;,Punctuation,2,1
;;;,Punctuation,6,3
;;;,Punctuation,7,2
;;;,Punctuation,9,1
;;;,Punctuation,10,2
;;;),Punctuation,6,1
;;;;,Punctuation,10,1
;_;,Punctuation,10,1
<,Punctuation,1,1
<,Punctuation,5,1
<,Punctuation,6,1
<,Punctuation,8,1
<,Punctuation,10,1
=,Punctuation,2,1
=,Punctuation,7,1
=,Punctuation,8,1
=,Punctuation,10,2
>,Punctuation,1,1
>,Punctuation,4,1
>,Punctuation,5,1
>,Punctuation,6,2
>,Punctuation,7,2
>,Punctuation,8,1
>,Punctuation,10,2
>.<,Punctuation,10,3
>>>,Punctuation,6,1
>_<,Punctuation,10,2
?,Punctuation,1,17
?,Punctuation,2,13
?,Punctuation,3,1
?,Punctuation,4,23
?,Punctuation,5,10
?,Punctuation,6,40
?,Punctuation,7,19
?,Punctuation,8,50
?,Punctuation,9,15
?,Punctuation,10,146
?!,Punctuation,8,3
?!,Punctuation,10,1
?!.,Punctuation,2,1
"?""",Punctuation,9,1
"?""",Punctuation,10,1
?),Punctuation,6,1
?),Punctuation,10,1
"?,",Punctuation,6,1
?.,Punctuation,9,1
?..,Punctuation,8,1
?..,Punctuation,10,2
?;;...,Punctuation,6,1
??,Punctuation,1,1
??,Punctuation,2,3
??,Punctuation,4,3
??,Punctuation,5,2
??,Punctuation,6,7
??,Punctuation,7,1
??,Punctuation,8,4
??,Punctuation,9,2
??,Punctuation,10,32
???,Punctuation,2,1
???,Punctuation,3,1
???,Punctuation,6,2
???,Punctuation,8,1
???,Punctuation,10,10
????,Punctuation,1,2
????,Punctuation,6,1
????,Punctuation,7,1
????,Punctuation,10,4
?????,Punctuation,10,1
?_?),Punctuation,10,1
@@@@^^@@@@,Punctuation,10,1
ATMOS,Alpha,9,1
B,Alpha,1,1
B,Alpha,3,1
B,Alpha,6,1
B,Alpha,8,1
BAD,Alpha,7,1
BBC,Alpha,6,1
BE,Alpha,9,1
BGM,Alpha,10,1
BUT,Alpha,8,1
Baba,Alpha,8,1
Be,Alpha,3,1
Be,Alpha,4,2
Be,Alpha,5,2
Be,Alpha,6,3
Be,Alpha,7,1
Be,Alpha,8,1
Be,Alpha,9,2
Be,Alpha,10,1
Best,Alpha,9,1
CAN,Alpha,8,1
CG,Alpha,1,12
CG,Alpha,2,5
CG,Alpha,3,6
CG,Alpha,4,17
CG,Alpha,5,10
CG,Alpha,6,40
CG,Alpha,7,24
CG,Alpha,8,52
CG,Alpha,9,19
CG,Alpha,10,105
CGV,Alpha,2,1
Can,Alpha,1,1
Can,Alpha,6,3
Can,Alpha,7,1
Can,Alpha,10,3
Cg,Alpha,3,1
Cg,Alpha,4,3
Cg,Alpha,6,5
Cg,Alpha,7,1
Cg,Alpha,8,5
Cg,Alpha,10,2
Circle,Alpha,6,2
Circle,Alpha,7,1
Circle,Alpha,8,4
Circle,Alpha,9,1
Circle,Alpha,10,10
Circular,Alpha,10,1
Computer,Alpha,5,1
D,Alpha,1,2
D,Alpha,2,4
D,Alpha,4,3
D,Alpha,5,3
D,Alpha,6,19
D,Alpha,7,3
D,Alpha,8,9
D,Alpha,9,4
D,Alpha,10,53
DVD,Alpha,10,3
DX,Alpha,1,1
DX,Alpha,6,1
DX,Alpha,10,8
Dx,Alpha,8,1
EBS,Alpha,6,1
EEE,Alpha,7,1
Endless,Alpha,10,1
FEEL,Alpha,8,1
Facial,Alpha,10,1
Feel,Alpha,6,1
Feel,Alpha,10,1
Forever,Alpha,10,1
G,Alpha,4,1
G,Alpha,10,1
GOOD,Alpha,7,1
Good,Alpha,10,1
Goooo,Alpha,10,1
Gooood,Alpha,7,1
Graphics,Alpha,5,1
Greatest,Alpha,10,1
Hakuna,Alpha,6,1
Hakuna,Alpha,9,1
Hakuna,Alpha,10,1
He,Alpha,10,4
Hoxy,Alpha,10,1
I,Alpha,2,1
I,Alpha,4,1
I,Alpha,6,2
I,Alpha,9,1
IMAX,Alpha,1,1
IMAX,Alpha,8,2
IMAX,Alpha,10,3
IMax,Alpha,8,1
Ip,Alpha,8,1
It,Alpha,7,1
It,Alpha,8,1
KBS,Alpha,4,2
KBS,Alpha,5,1
KBS,Alpha,10,2
KING,Alpha,10,1
Kbs,Alpha,2,1
Kbs,Alpha,6,1
King,Alpha,7,1
King,Alpha,10,3
LION,Alpha,10,1
LOVE,Alpha,8,1
Legend,Alpha,10,1
Life,Alpha,6,2
Life,Alpha,7,1
Life,Alpha,10,3
Lion,Alpha,7,1
Lion,Alpha,10,2
Long,Alpha,10,1
Love,Alpha,6,1
Love,Alpha,10,1
Lv,Alpha,6,1
MCU,Alpha,7,1
MX,Alpha,9,1
MX,Alpha,10,3
Matata,Alpha,10,1
NO,Alpha,10,1
Nants,Alpha,8,1
No,Alpha,8,1
O,Alpha,10,1
OO,Alpha,1,1
OO,Alpha,4,1
OO,Alpha,5,1
OO,Alpha,8,2
OO,Alpha,10,7
OOO,Alpha,1,1
OOO,Alpha,2,1
OOO,Alpha,10,2
OP,Alpha,10,1
OS,Alpha,7,1
OS,Alpha,9,1
OST,Alpha,1,3
OST,Alpha,2,2
OST,Alpha,3,3
OST,Alpha,4,6
OST,Alpha,5,4
OST,Alpha,6,15
OST,Alpha,7,11
OST,Alpha,8,24
OST,Alpha,9,11
OST,Alpha,10,64
Of,Alpha,6,2
Oh,Alpha,2,1
Ost,Alpha,1,1
Ost,Alpha,4,1
Ost,Alpha,6,6
Ost,Alpha,7,1
Ost,Alpha,8,6
Ost,Alpha,10,17
PC,Alpha,4,1
PC,Alpha,8,1
PC,Alpha,9,1
PC,Alpha,10,1
PREPARE,Alpha,9,1
Pc,Alpha,6,1
Pepared,Alpha,9,1
Perlall,Alpha,8,1
Prepared,Alpha,3,1
Prepared,Alpha,4,1
Prepared,Alpha,5,2
Prepared,Alpha,9,1
R,Alpha,1,1
R,Alpha,3,1
R,Alpha,6,1
R,Alpha,8,1
Remember,Alpha,8,1
Remember,Alpha,9,2
Remember,Alpha,10,10
SF,Alpha,10,1
SOSO,Alpha,7,1
Sbdjdidbekdodhebdbeidyebdlcofb,Alpha,2,1
Shadow,Alpha,10,1
Si,Alpha,8,1
Sleeps,Alpha,10,1
Spirit,Alpha,8,1
THE,Alpha,8,1
TONIGHT,Alpha,8,1
TT,Alpha,10,1
TV,Alpha,2,1
TV,Alpha,4,1
TV,Alpha,6,1
TV,Alpha,8,1
TV,Alpha,10,3
The,Alpha,6,1
The,Alpha,7,1
The,Alpha,8,1
The,Alpha,10,3
They,Alpha,10,1
Tonight,Alpha,6,1
Tonight,Alpha,10,2
VOD,Alpha,2,1
WIN,Alpha,8,2
Williams,Alpha,8,1
YOU,Alpha,8,1
You,Alpha,6,1
You,Alpha,10,1
[,Punctuation,6,1
],Punctuation,6,1
^,Punctuation,10,2
^!^,Punctuation,10,1
^-^,Punctuation,10,1
^^,Punctuation,1,1
^^,Punctuation,2,1
^^,Punctuation,4,1
^^,Punctuation,5,1
^^,Punctuation,6,5
^^,Punctuation,7,1
^^,Punctuation,8,41
^^,Punctuation,9,16
^^,Punctuation,10,149
^^!,Punctuation,6,1
^^!,Punctuation,10,1
^^!!,Punctuation,10,1
^^),Punctuation,10,1
^^*,Punctuation,9,1
^^;,Punctuation,1,1
^^;,Punctuation,8,2
^^;,Punctuation,10,1
^^;;,Punctuation,8,1
^^;;,Punctuation,9,1
^^^,Punctuation,10,1
^^^....,Punctuation,10,1
^^~,Punctuation,10,3
^^~~~,Punctuation,10,1
^_^,Punctuation,8,1
^~~~,Punctuation,10,1
_,Punctuation,1,2
_,Punctuation,8,1
_,Punctuation,10,6
`~,Punctuation,10,1
a,Alpha,10,1
am,Alpha,4,1
am,Alpha,6,1
are,Alpha,8,1
are,Alpha,9,2
are,Alpha,10,8
b,Alpha,10,1
bagiithi,Alpha,8,1
bb,Alpha,9,1
bb,Alpha,10,4
bbb,Alpha,10,1
bbc,Alpha,10,1
be,Alpha,1,1
be,Alpha,2,2
be,Alpha,4,3
be,Alpha,6,4
be,Alpha,7,2
be,Alpha,8,1
be,Alpha,10,4
can,Alpha,1,1
can,Alpha,6,2
can,Alpha,7,1
can,Alpha,8,4
can,Alpha,9,2
can,Alpha,10,3
cant,Alpha,2,1
cant,Alpha,10,1
cc,Alpha,2,1
cercle,Alpha,6,1
cg,Alpha,1,5
cg,Alpha,2,4
cg,Alpha,3,2
cg,Alpha,4,12
cg,Alpha,5,7
cg,Alpha,6,29
cg,Alpha,7,14
cg,Alpha,8,25
cg,Alpha,9,13
cg,Alpha,10,68
cgv,Alpha,1,1
cgv,Alpha,10,3
circle,Alpha,6,2
circle,Alpha,7,3
circle,Alpha,9,3
circle,Alpha,10,14
cycle,Alpha,10,1
d,Alpha,1,5
d,Alpha,2,2
d,Alpha,4,4
d,Alpha,5,1
d,Alpha,6,4
d,Alpha,7,1
d,Alpha,8,7
d,Alpha,9,3
d,Alpha,10,50
djflfwjrrkaehddl,Alpha,8,1
dvd,Alpha,8,1
dx,Alpha,2,1
dx,Alpha,6,1
dx,Alpha,8,2
dx,Alpha,10,7
e,Alpha,5,1
emfdjtjdlsrk,Alpha,8,1
ever,Alpha,10,1
expression,Alpha,10,1
feel,Alpha,1,2
feel,Alpha,6,3
feel,Alpha,7,2
feel,Alpha,8,4
feel,Alpha,9,2
feel,Alpha,10,5
fi,Alpha,8,1
free,Alpha,7,1
g,Alpha,4,1
good,Alpha,7,3
good,Alpha,8,1
good,Alpha,10,5
goodgood,Alpha,10,1
guest,Alpha,8,1
hakuna,Alpha,8,1
hans,Alpha,6,1
has,Alpha,8,1
has,Alpha,10,1
he,Alpha,2,1
he,Alpha,10,1
home,Alpha,4,1
home,Alpha,6,1
home,Alpha,9,1
i,Alpha,6,1
imax,Alpha,10,10
in,Alpha,2,1
in,Alpha,9,1
in,Alpha,10,5
ingonyama,Alpha,8,1
is,Alpha,5,1
is,Alpha,10,1
jkggg,Alpha,10,1
just,Alpha,2,1
just,Alpha,6,1
just,Alpha,10,1
kbs,Alpha,1,1
kbs,Alpha,4,1
kbs,Alpha,5,1
kbs,Alpha,8,1
kbs,Alpha,10,3
king,Alpha,2,1
king,Alpha,6,1
king,Alpha,8,1
king,Alpha,10,3
land,Alpha,10,1
life,Alpha,6,3
life,Alpha,7,3
life,Alpha,8,4
life,Alpha,9,5
life,Alpha,10,21
lion,Alpha,6,1
lion,Alpha,8,1
lion,Alpha,10,3
live,Alpha,10,2
lives,Alpha,2,1
lives,Alpha,10,5
love,Alpha,1,1
love,Alpha,6,3
love,Alpha,7,2
love,Alpha,8,3
love,Alpha,9,2
love,Alpha,10,6
m,Alpha,9,1
mX,Alpha,10,1
marvelous,Alpha,10,1
matata,Alpha,6,1
matata,Alpha,8,1
matata,Alpha,9,1
means,Alpha,8,1
movie,Alpha,9,1
movie,Alpha,10,2
mx,Alpha,1,1
my,Alpha,9,1
n,Alpha,5,1
n,Alpha,10,7
night,Alpha,6,1
night,Alpha,10,1
no,Alpha,8,1
ocn,Alpha,6,1
of,Alpha,6,3
of,Alpha,7,4
of,Alpha,8,4
of,Alpha,9,4
of,Alpha,10,26
ok,Alpha,6,1
ok,Alpha,8,1
or,Alpha,6,1
ost,Alpha,1,6
ost,Alpha,2,5
ost,Alpha,3,1
ost,Alpha,4,9
ost,Alpha,5,3
ost,Alpha,6,21
ost,Alpha,7,11
ost,Alpha,8,39
ost,Alpha,9,17
ost,Alpha,10,107
our,Alpha,7,1
our,Alpha,8,1
pc,Alpha,1,1
pc,Alpha,10,2
perpared,Alpha,10,1
philosophy,Alpha,7,1
prepared,Alpha,1,1
prepared,Alpha,2,2
prepared,Alpha,4,4
prepared,Alpha,6,6
prepared,Alpha,7,3
prepared,Alpha,8,1
prepared,Alpha,10,3
pride,Alpha,10,1
problem,Alpha,7,1
re,Alpha,10,1
remember,Alpha,6,1
remember,Alpha,7,1
remember,Alpha,10,2
returned,Alpha,8,1
returned,Alpha,10,1
rock,Alpha,10,1
s,Alpha,7,1
skdlrk,Alpha,8,1
skwl,Alpha,9,1
sleep,Alpha,6,1
sleeps,Alpha,8,1
sleeps,Alpha,10,2
so,Alpha,6,2
soso,Alpha,6,1
soso,Alpha,8,1
sp,Alpha,9,1
speachless,Alpha,10,1
speechless,Alpha,7,1
speechless,Alpha,9,1
spirit,Alpha,8,1
sprit,Alpha,7,1
t,Alpha,6,1
t,Alpha,8,1
the,Alpha,1,2
the,Alpha,6,3
the,Alpha,7,2
the,Alpha,8,4
the,Alpha,9,2
the,Alpha,10,9
this,Alpha,10,1
tkfkwuTek,Alpha,8,1
to,Alpha,2,1
to,Alpha,6,2
to,Alpha,10,1
tonight,Alpha,1,1
tonight,Alpha,6,2
tonight,Alpha,7,2
tonight,Alpha,8,3
tonight,Alpha,9,2
tonight,Alpha,10,6
tv,Alpha,2,1
