형태소,품사,분류,카운트
10,Number,8.0,3
10,Number,9.0,1
10,Number,10.0,45
10%,Number,4.0,1
10%,Number,6.0,1
100,Number,1.0,1
100,Number,2.0,2
100,Number,6.0,1
100,Number,7.0,1
100,Number,10.0,7
100%,Number,1.0,1
100%,Number,10.0,2
1000%,Number,10.0,2
10000,Number,1.0,1
10000,Number,10.0,1
10000%,Number,10.0,1
1000만,Number,10.0,1
100분,Number,10.0,1
108분,Number,1.0,4
108분,Number,5.0,2
108분,Number,8.0,1
108분,Number,9.0,1
108분,Number,10.0,5
10년,Number,3.0,1
10년,Number,10.0,1
10분,Number,1.0,1
10억,Number,10.0,1
10억달러,Number,6.0,1
10초,Number,1.0,1
11,Number,7.0,1
11111111,Number,10.0,1
12,Number,5.0,2
12,Number,10.0,1
120,Number,1.0,1
123,Number,6.0,1
123,Number,10.0,1
13,Number,10.0,1
"13,000원",Number,5.0,1
"13,000원",Number,8.0,1
13000원,Number,1.0,1
13일,Number,10.0,1
15,Number,10.0,1
1531,Number,6.0,1
15분,Number,1.0,1
16000원,Number,1.0,1
18,Number,7.0,1
18분,Number,10.0,1
19,Number,1.0,1
19,Number,8.0,1
1951,Number,10.0,1
1951년,Number,5.0,1
1967년,Number,10.0,1
1989년,Number,10.0,1
1년,Number,10.0,1
1시,Number,10.0,1
1시간,Number,1.0,2
1시간,Number,2.0,1
1시간,Number,3.0,1
1시간,Number,4.0,1
1시간,Number,10.0,1
1월,Number,10.0,1
2,Number,1.0,4
2,Number,2.0,2
2,Number,3.0,2
2,Number,4.0,4
2,Number,5.0,6
2,Number,6.0,4
2,Number,7.0,10
2,Number,8.0,6
2,Number,9.0,8
2,Number,10.0,38
2%,Number,7.0,2
2%,Number,8.0,4
2%,Number,9.0,2
2%,Number,10.0,1
2/3,Number,4.0,1
20,Number,1.0,1
20,Number,3.0,2
20,Number,5.0,1
20,Number,9.0,2
20,Number,10.0,3
200,Number,3.0,1
201,Number,8.0,1
2010,Number,10.0,1
2010년,Number,1.0,1
2010년,Number,8.0,1
2010년,Number,10.0,7
2013년,Number,10.0,1
2016년,Number,10.0,2
20초,Number,2.0,1
21,Number,1.0,1
21일,Number,10.0,1
22,Number,10.0,2
2240717605943168037,Number,6.0,1
23,Number,10.0,1
24000원,Number,2.0,1
"26,000원",Number,1.0,1
26000원,Number,1.0,1
27,Number,7.0,1
28분,Number,1.0,1
2년,Number,10.0,1
2시간,Number,2.0,1
2시간,Number,10.0,3
3,Number,1.0,75
3,Number,2.0,10
3,Number,3.0,20
3,Number,4.0,36
3,Number,5.0,27
3,Number,6.0,54
3,Number,7.0,52
3,Number,8.0,59
3,Number,9.0,30
3,Number,10.0,210
3%,Number,8.0,1
3/4,Number,5.0,1
30,Number,6.0,1
30~40,Number,6.0,1
30년,Number,1.0,2
30분,Number,1.0,1
30분,Number,2.0,1
30분,Number,10.0,1
32000원,Number,1.0,1
3년,Number,1.0,1
3년,Number,8.0,1
3월,Number,6.0,1
3월,Number,10.0,1
4,Number,1.0,5
4,Number,2.0,1
4,Number,5.0,1
4,Number,6.0,5
4,Number,7.0,2
4,Number,8.0,3
4,Number,9.0,1
4,Number,10.0,5
4.5,Number,4.0,1
4/5,Number,8.0,1
40,Number,4.0,1
40분,Number,1.0,1
40분,Number,3.0,2
40분,Number,4.0,1
40분,Number,10.0,1
4388988,Number,10.0,1
5,Number,1.0,3
5,Number,4.0,1
5,Number,5.0,3
5,Number,6.0,1
5,Number,7.0,1
5,Number,8.0,1
5,Number,9.0,1
5,Number,10.0,16
50,Number,9.0,1
5000원,Number,1.0,1
5년,Number,1.0,1
5분,Number,1.0,1
5시간,Number,10.0,1
6,Number,1.0,2
6,Number,5.0,1
6,Number,6.0,6
6,Number,8.0,1
6,Number,10.0,8
6.0,Number,10.0,1
6.5,Number,1.0,1
6.5,Number,6.0,1
6042,Number,10.0,1
6~7,Number,10.0,1
6년,Number,7.0,1
7,Number,1.0,6
7,Number,2.0,1
7,Number,3.0,1
7,Number,5.0,2
7,Number,6.0,1
7,Number,7.0,10
7,Number,8.0,1
7,Number,9.0,2
7,Number,10.0,15
7.0,Number,1.0,1
7.19,Number,1.0,1
7.5,Number,7.0,2
7.5,Number,8.0,1
7.5,Number,10.0,2
7000원,Number,2.0,1
75,Number,7.0,1
7~8,Number,7.0,1
7~8,Number,8.0,1
8,Number,1.0,3
8,Number,8.0,3
8,Number,10.0,14
8.5,Number,9.0,1
8.5,Number,10.0,3
8.7,Number,10.0,1
80%,Number,3.0,1
80년,Number,2.0,1
80년,Number,7.0,1
80분,Number,1.0,1
89,Number,10.0,1
8~9,Number,10.0,1
9,Number,8.0,1
9,Number,9.0,4
9,Number,10.0,3
9.5,Number,9.0,1
9.5,Number,10.0,1
98%,Number,6.0,1
:,Punctuation,1.0,1
:,Punctuation,5.0,1
:,Punctuation,6.0,1
:,Punctuation,8.0,1
:,Punctuation,10.0,2
:),Punctuation,7.0,1
:),Punctuation,8.0,3
:),Punctuation,10.0,10
:)!,Punctuation,9.0,1
::,Punctuation,10.0,1
:::,Punctuation,1.0,1
:::::,Punctuation,10.0,1
:>,Punctuation,10.0,1
;,Punctuation,1.0,14
;,Punctuation,2.0,2
;,Punctuation,3.0,5
;,Punctuation,4.0,6
;,Punctuation,5.0,2
;,Punctuation,6.0,7
;,Punctuation,7.0,8
;,Punctuation,8.0,2
;,Punctuation,9.0,4
;,Punctuation,10.0,20
;-),Punctuation,10.0,1
;.,Punctuation,9.0,1
;/,Punctuation,10.0,1
;;,Punctuation,1.0,11
;;,Punctuation,3.0,1
;;,Punctuation,4.0,6
;;,Punctuation,5.0,6
;;,Punctuation,6.0,12
;;,Punctuation,7.0,14
;;,Punctuation,8.0,6
;;,Punctuation,9.0,4
;;,Punctuation,10.0,16
";;""",Punctuation,10.0,1
;;),Punctuation,1.0,1
;;-,Punctuation,1.0,1
;;..,Punctuation,9.0,1
;;;,Punctuation,1.0,2
;;;,Punctuation,3.0,1
;;;,Punctuation,4.0,1
;;;,Punctuation,6.0,3
;;;,Punctuation,8.0,1
;;;,Punctuation,10.0,4
;;;;,Punctuation,1.0,3
;;;;,Punctuation,3.0,2
;;;;,Punctuation,5.0,1
;;;;,Punctuation,7.0,1
;;;;;;,Punctuation,7.0,1
;;;;;;;,Punctuation,7.0,2
;;;;;;;;,Punctuation,10.0,1
;?????,Punctuation,1.0,1
<,Punctuation,4.0,1
<,Punctuation,6.0,1
<,Punctuation,7.0,1
<,Punctuation,9.0,2
<,Punctuation,10.0,8
<<,Punctuation,10.0,1
=,Punctuation,1.0,1
=,Punctuation,5.0,3
=,Punctuation,6.0,1
=,Punctuation,7.0,3
=,Punctuation,8.0,2
=,Punctuation,10.0,9
=)//,Punctuation,10.0,1
=/,Punctuation,10.0,1
=_=,Punctuation,8.0,1
>,Punctuation,4.0,1
>,Punctuation,6.0,1
>,Punctuation,7.0,1
>,Punctuation,8.0,3
>,Punctuation,10.0,14
>!,Punctuation,10.0,2
">,<",Punctuation,10.0,1
>.<,Punctuation,10.0,1
>/,Punctuation,7.0,1
><,Punctuation,7.0,1
><,Punctuation,8.0,1
><,Punctuation,10.0,13
><~>!,Punctuation,10.0,1
>_,Punctuation,10.0,1
>_<,Punctuation,10.0,10
>_<~,Punctuation,10.0,1
>~<,Punctuation,10.0,1
?,Punctuation,1.0,42
?,Punctuation,2.0,12
?,Punctuation,3.0,11
?,Punctuation,4.0,14
?,Punctuation,5.0,21
?,Punctuation,6.0,21
?,Punctuation,7.0,24
?,Punctuation,8.0,11
?,Punctuation,9.0,24
?,Punctuation,10.0,99
?!,Punctuation,9.0,3
?!,Punctuation,10.0,4
?!..;,Punctuation,6.0,1
?!=_=+,Punctuation,4.0,1
?!?!,Punctuation,10.0,1
"?,",Punctuation,4.0,1
"?,...",Punctuation,10.0,1
?...,Punctuation,6.0,2
?.....,Punctuation,8.0,1
?........,Punctuation,7.0,1
?;,Punctuation,7.0,1
?;,Punctuation,10.0,1
?>?,Punctuation,10.0,1
??,Punctuation,1.0,4
??,Punctuation,4.0,1
??,Punctuation,6.0,6
??,Punctuation,7.0,4
??,Punctuation,8.0,1
??,Punctuation,9.0,3
??,Punctuation,10.0,15
??...,Punctuation,5.0,1
???,Punctuation,5.0,3
???,Punctuation,8.0,1
???,Punctuation,10.0,5
?????,Punctuation,2.0,1
???????,Punctuation,1.0,1
????????????,Punctuation,10.0,1
?????????????????????????,Punctuation,1.0,1
??^^,Punctuation,8.0,1
?~,Punctuation,6.0,1
@,Punctuation,10.0,1
@!!,Foreign,6.0,1
@.@,Punctuation,10.0,1
@@,Punctuation,5.0,1
@@,Punctuation,8.0,1
@@@,Punctuation,10.0,1
@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@,Punctuation,1.0,1
About,Alpha,10.0,1
Alice,Alpha,10.0,1
And,Alpha,10.0,1
Anne,Alpha,10.0,1
As,Alpha,10.0,1
BUT,Alpha,8.0,1
Burton,Alpha,10.0,1
CEO,Alpha,7.0,1
CG,Alpha,1.0,3
CG,Alpha,2.0,1
CG,Alpha,3.0,2
CG,Alpha,4.0,1
CG,Alpha,5.0,2
CG,Alpha,6.0,5
CG,Alpha,7.0,3
CG,Alpha,8.0,5
CG,Alpha,9.0,3
CG,Alpha,10.0,7
CGV,Alpha,6.0,1
CGV,Alpha,8.0,1
CGV,Alpha,9.0,1
CGV,Alpha,10.0,1
Captain,Alpha,10.0,1
Curious,Alpha,10.0,1
D,Alpha,1.0,51
D,Alpha,2.0,10
D,Alpha,3.0,19
D,Alpha,4.0,23
D,Alpha,5.0,22
D,Alpha,6.0,46
D,Alpha,7.0,49
D,Alpha,8.0,42
D,Alpha,9.0,24
D,Alpha,10.0,184
DVD,Alpha,1.0,1
DVD,Alpha,3.0,2
DVD,Alpha,5.0,1
DVD,Alpha,9.0,2
DVD,Alpha,10.0,4
E,Alpha,1.0,1
FAIL,Alpha,5.0,1
G,Alpha,10.0,1
GG,Alpha,4.0,1
GG,Alpha,6.0,1
GOOD,Alpha,10.0,2
Good,Alpha,8.0,1
Good,Alpha,10.0,3
HD,Alpha,7.0,1
Hathaway,Alpha,10.0,1
Hey,Alpha,6.0,1
Honestly,Alpha,5.0,1
I,Alpha,5.0,1
I,Alpha,8.0,1
I,Alpha,10.0,1
IMAX,Alpha,1.0,1
IMAX,Alpha,5.0,1
IMAX,Alpha,7.0,1
IMAX,Alpha,9.0,2
IMAX,Alpha,10.0,1
In,Alpha,4.0,1
It,Alpha,10.0,2
Its,Alpha,5.0,1
Its,Alpha,10.0,1
J,Alpha,10.0,1
Jack,Alpha,10.0,1
Johnny,Alpha,10.0,1
Knight,Alpha,7.0,1
OO,Alpha,1.0,7
OO,Alpha,2.0,2
OO,Alpha,7.0,1
OO,Alpha,10.0,4
OOO,Alpha,1.0,3
OOO,Alpha,5.0,1
OOO,Alpha,8.0,1
OOO,Alpha,10.0,2
OOOO,Alpha,1.0,1
OST,Alpha,6.0,1
OST,Alpha,10.0,2
OTL,Alpha,2.0,1
OTL,Alpha,7.0,1
Off,Alpha,10.0,2
Open,Alpha,6.0,1
Open,Alpha,7.0,1
REAL,Alpha,2.0,1
Shinedown,Alpha,6.0,1
TT,Alpha,1.0,1
TV,Alpha,6.0,1
TV,Alpha,9.0,1
TV,Alpha,10.0,4
The,Alpha,4.0,1
Tim,Alpha,5.0,1
Tim,Alpha,6.0,1
Tim,Alpha,10.0,1
To,Alpha,10.0,1
Tv,Alpha,10.0,1
Very,Alpha,10.0,1
What,Alpha,6.0,1
Wonderland,Alpha,4.0,1
Wow,Alpha,10.0,2
X,Alpha,6.0,1
X,Alpha,10.0,3
ZZzz,Alpha,10.0,1
[,Punctuation,1.0,2
[,Punctuation,10.0,1
],Punctuation,1.0,2
],Punctuation,10.0,1
^,Punctuation,4.0,1
^,Punctuation,5.0,2
^,Punctuation,7.0,1
^,Punctuation,9.0,4
^,Punctuation,10.0,17
^)/,Punctuation,10.0,1
^*^,Punctuation,10.0,2
^-^,Punctuation,7.0,1
^-^,Punctuation,9.0,1
^-^,Punctuation,10.0,6
^-^),Punctuation,10.0,1
^.^,Punctuation,10.0,2
^.^*,Punctuation,10.0,1
^^,Punctuation,1.0,2
^^,Punctuation,4.0,1
^^,Punctuation,5.0,1
